--------- beginning of main
12-08 13:17:40.409 W/System.err(17841): 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1156)
12-08 13:17:40.409 W/System.err(17841): 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:651)
12-08 13:17:40.409 W/System.err(17841): 	at java.lang.Thread.run(Thread.java:1119)
12-08 13:17:40.409 W/System.err(17841): Caused by: java.lang.RuntimeException: Cannot find implementation for com.samsung.android.scloud.galleryproxy.mediarecovery.MediaRecoveryDatabase. MediaRecoveryDatabase_Impl does not exist
12-08 13:17:40.409 W/System.err(17841): 	at androidx.room.Room.getGeneratedImplementation(Unknown Source:208)
12-08 13:17:40.409 W/System.err(17841): 	at androidx.room.RoomDatabase$Builder.build(Unknown Source:321)
12-08 13:17:40.410 W/System.err(17841): 	at com.samsung.android.scloud.galleryproxy.mediarecovery.MediaRecoveryDatabase.create(Unknown Source:16)
12-08 13:17:40.410 W/System.err(17841): 	at com.samsung.android.scloud.galleryproxy.mediarecovery.MediaRecoveryDatabase.a(Unknown Source:0)
12-08 13:17:40.410 W/System.err(17841): 	at com.samsung.android.scloud.galleryproxy.mediarecovery.MediaRecoveryDatabase$Holder.<clinit>(Unknown Source:0)
12-08 13:17:40.410 W/System.err(17841): 	... 17 more
12-08 13:18:25.727 W/System.err(18633): java.lang.NullPointerException: Attempt to invoke virtual method 'com.samsung.android.desktopmode.SemDesktopModeState com.samsung.android.desktopmode.SemDesktopModeManager.getDesktopModeState()' on a null object reference
12-08 13:18:25.728 W/System.err(18633): 	at d.e.a.a.a.x.f.d(SourceFile:2)
12-08 13:18:25.728 W/System.err(18633): 	at d.e.a.a.a.x.f.c(SourceFile:1)
12-08 13:18:25.728 W/System.err(18633): 	at com.samsung.android.app.galaxyfinder.GalaxyFinderActivity.v(SourceFile:1)
12-08 13:18:25.728 W/System.err(18633): 	at com.samsung.android.app.galaxyfinder.GalaxyFinderActivity.onCreate(SourceFile:16)
12-08 13:18:25.728 W/System.err(18633): 	at android.app.Activity.performCreate(Activity.java:8290)
12-08 13:18:25.728 W/System.err(18633): 	at android.app.Activity.performCreate(Activity.java:8270)
12-08 13:18:25.728 W/System.err(18633): 	at android.app.Instrumentation.callActivityOnCreate(Instrumentation.java:1329)
12-08 13:18:25.728 W/System.err(18633): 	at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:4009)
12-08 13:18:25.728 W/System.err(18633): 	at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:4201)
12-08 13:18:25.728 W/System.err(18633): 	at android.app.servertransaction.LaunchActivityItem.execute(LaunchActivityItem.java:103)
12-08 13:18:25.728 W/System.err(18633): 	at android.app.servertransaction.TransactionExecutor.executeCallbacks(TransactionExecutor.java:135)
12-08 13:18:25.728 W/System.err(18633): 	at android.app.servertransaction.TransactionExecutor.execute(TransactionExecutor.java:95)
12-08 13:18:25.728 W/System.err(18633): 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:2438)
12-08 13:18:25.728 W/System.err(18633): 	at android.os.Handler.dispatchMessage(Handler.java:106)
